product_id,name,category,unit_price,stock_qty,supplier_id,created_at
101,Wireless Headphones,Electronics,79.99,240,S01,2021-06-01
102,Running Shoes,Apparel,54.95,185,S02,2021-07-15
103,Stainless Water Bottle,Home & Kitchen,24.50,500,S03,2021-08-20
104,Yoga Mat,Sports,35.00,310,S02,2021-09-10
105,Bluetooth Speaker,Electronics,49.99,150,S01,2022-01-05
106,Desk Lamp,Home & Kitchen,39.00,200,S03,2022-03-12
107,Protein Powder,Health,29.99,420,S04,2022-05-18
108,Notebook (A5),Office,8.50,900,S05,2022-07-22
109,USB-C Hub,Electronics,34.99,175,S01,2022-10-01
110,Sunglasses,Apparel,22.00,260,S02,2023-02-14
